questionsAnswered,correct_answers,timeSpent,halfCorrect,reversed,questionsSkipped,answerChanges,flaggedQuestions,label
35,22,10.77,7,0,20,5,5,moyen
34,21,15.76,1,5,13,3,4,moyen
20,5,15.09,3,3,12,5,3,très faible
17,16,18.46,1,0,16,4,1,très faible
22,17,12.48,0,2,3,5,2,faible
40,1,16.82,3,4,12,2,3,très faible
19,15,10.1,0,2,8,1,1,faible
33,4,15.77,6,0,7,2,1,très faible
33,1,19.97,8,3,7,5,4,très faible
10,4,19.03,0,2,14,2,3,très faible
22,0,14.06,0,1,4,3,1,très faible
18,11,19.78,5,2,0,3,4,faible
13,8,11.47,5,0,11,2,2,très faible
36,12,18.97,3,5,10,0,3,très faible
32,1,13.25,0,5,10,2,0,très faible
35,20,11.64,2,3,6,1,1,faible
40,33,16.17,1,4,18,4,1,moyen
24,4,14.85,8,3,14,6,5,très faible
31,11,16.96,3,4,6,1,3,très faible
16,14,19.12,2,0,10,0,1,très faible
32,20,14.39,1,0,15,3,4,moyen
28,28,13.54,0,0,5,0,2,moyen
22,16,19.2,6,0,8,3,1,faible
37,37,12.43,0,0,0,4,1,très fort
31,31,18.87,0,0,10,6,5,fort
39,14,17.59,0,4,18,5,5,très faible
15,5,15.75,0,1,13,4,3,très faible
27,22,18.18,0,2,2,1,3,moyen
20,15,19.19,0,1,20,4,3,faible
14,13,17.19,1,0,13,5,5,très faible
19,15,13.57,0,3,11,1,2,faible
34,1,16.64,9,1,9,4,1,très faible
35,31,14.6,2,0,0,1,0,fort
38,3,11.11,1,5,10,1,1,très faible
10,4,13.87,5,0,14,3,5,très faible
19,18,12.84,1,0,6,5,4,faible
17,16,11.5,1,0,0,0,4,très faible
27,0,14.62,6,2,9,4,5,très faible
10,4,16.87,3,2,10,1,0,très faible
20,20,19.47,0,0,19,6,3,faible
15,12,14.98,0,3,2,4,0,très faible
23,17,14.2,4,1,9,3,4,faible
39,30,15.11,8,1,0,3,2,moyen
12,8,12.94,2,0,8,2,5,très faible
37,0,17.47,4,1,11,2,0,très faible
20,15,16.48,0,0,2,0,5,faible
13,6,10.18,2,4,12,6,5,très faible
11,11,17.22,0,0,7,5,5,très faible
32,24,16.77,3,0,10,6,5,moyen
10,7,19.53,2,0,11,6,3,très faible
19,17,13.81,1,1,2,5,0,faible
37,16,18.69,7,5,11,0,2,faible
19,18,15.71,0,1,7,1,4,faible
22,2,18.97,5,1,5,3,3,très faible
36,27,15.65,5,2,9,2,0,moyen
40,26,11.14,8,2,12,0,4,moyen
21,1,13.22,9,1,10,5,5,très faible
27,17,17.03,6,3,14,6,2,moyen
31,28,13.56,0,3,12,5,1,moyen
25,9,17.6,10,1,16,4,0,très faible
34,2,14.75,7,0,0,5,1,très faible
17,4,10.72,10,1,6,3,0,très faible
22,15,11.04,5,0,13,4,5,faible
16,10,17.01,0,5,16,6,5,très faible
35,18,19.83,10,4,0,0,3,faible
15,0,12.51,1,3,12,4,0,très faible
27,6,15.06,6,1,9,5,4,très faible
20,15,16.93,0,5,17,1,3,faible
28,7,17.71,4,2,0,1,3,très faible
18,13,18.07,0,0,18,1,1,faible
37,5,15.81,3,3,16,4,1,très faible
36,17,12.92,0,5,12,4,4,faible
17,16,18.62,1,0,8,1,0,très faible
22,13,16.92,2,2,17,4,4,faible
35,29,10.46,6,0,6,5,0,moyen
31,14,17.14,10,0,17,3,2,faible
37,0,10.47,2,5,3,0,3,très faible
32,10,11.12,10,2,4,1,3,très faible
20,3,17.82,0,3,15,0,1,très faible
25,14,16.66,5,3,8,1,2,faible
13,9,15.26,3,0,20,3,0,très faible
26,20,16.99,2,2,14,3,1,moyen
30,28,16.89,0,1,5,3,3,fort
39,5,12.77,8,5,7,3,0,très faible
28,9,10.87,7,4,12,5,5,très faible
11,3,15.85,1,2,16,6,4,très faible
14,10,17.31,1,3,4,6,2,très faible
22,3,16.56,9,3,14,3,2,très faible
30,29,10.26,0,1,12,4,1,fort
19,1,16.31,7,4,7,4,4,très faible
26,12,11.63,10,1,9,2,3,faible
12,1,12.95,5,3,15,0,4,très faible
14,0,19.34,3,0,20,6,5,très faible
40,16,16.27,7,2,3,6,0,faible
21,17,15.25,4,0,16,5,0,faible
15,13,14.26,2,0,2,3,1,très faible
38,20,19.83,3,1,5,2,5,faible
20,15,13.11,1,1,20,3,2,faible
33,22,17.26,10,1,13,4,3,moyen
29,10,14.22,0,1,11,4,1,très faible
33,17,14.91,0,1,14,4,0,faible
29,10,10.28,0,3,16,2,2,très faible
27,3,16.48,10,1,7,0,5,très faible
11,1,12.91,6,0,13,6,4,très faible
26,10,16.68,4,3,9,6,3,très faible
23,8,18.28,4,2,10,2,1,très faible
15,5,13.95,3,3,16,5,5,très faible
39,11,13.56,2,4,10,4,5,très faible
20,13,14.92,5,0,2,4,5,faible
35,29,13.48,1,0,5,1,0,moyen
37,7,10.9,3,4,14,5,2,très faible
37,13,11.62,4,3,0,2,1,très faible
33,10,10.47,6,2,1,1,5,très faible
17,9,17.46,2,0,7,3,1,très faible
35,3,16.24,1,3,9,0,4,très faible
15,2,15.57,5,3,6,5,5,très faible
36,18,13.82,4,3,17,1,3,faible
10,4,12.28,1,0,17,0,2,très faible
36,4,18.61,3,1,18,6,5,très faible
20,9,19.11,6,4,20,0,5,faible
25,13,10.13,6,3,20,3,0,faible
36,2,18.82,3,3,12,2,4,très faible
39,31,18.78,5,3,7,3,4,moyen
16,4,13.36,0,2,17,6,3,très faible
16,2,13.2,8,3,5,5,1,très faible
12,5,13.69,5,1,10,1,1,très faible
34,10,16.99,10,1,15,5,4,très faible
27,1,15.52,0,5,7,0,1,très faible
19,3,10.55,2,0,15,2,0,très faible
23,6,11.37,5,1,6,4,4,très faible
34,9,11.56,7,0,13,6,1,très faible
11,10,19.38,0,1,15,2,0,très faible
18,15,19.28,1,0,17,0,2,faible
33,4,11.29,0,4,10,0,5,très faible
22,19,18.1,0,2,5,4,5,faible
13,4,11.11,2,1,1,4,0,très faible
14,8,10.15,5,0,17,5,5,très faible
29,28,17.82,1,0,0,5,0,moyen
12,5,19.44,3,3,5,0,4,très faible
39,15,19.32,5,2,1,4,4,très faible
33,19,17.28,3,0,13,4,1,faible
32,2,13.82,3,0,3,4,4,très faible
34,17,11.67,4,5,0,2,4,faible
40,24,11.45,10,3,2,3,2,moyen
14,13,19.24,1,0,13,0,3,très faible
16,16,14.72,0,0,17,1,5,très faible
14,9,17.76,3,1,20,3,2,très faible
11,0,14.47,4,1,0,3,0,très faible
30,25,19.15,4,0,3,1,3,moyen
13,10,10.96,2,0,2,2,2,très faible
32,7,19.15,9,1,12,4,4,très faible
24,4,19.85,1,2,4,4,0,très faible
24,22,12.61,0,0,6,3,4,faible
18,9,11.02,7,1,15,3,4,faible
12,12,12.23,0,0,2,3,1,très faible
12,5,14.64,0,5,17,4,0,très faible
33,13,18.52,1,5,16,1,4,très faible
23,3,19.85,8,3,9,4,0,très faible
29,19,13.67,9,1,17,0,2,moyen
29,21,16.24,7,0,17,4,2,moyen
26,24,14.19,2,0,11,2,2,moyen
24,20,15.98,3,1,4,1,1,faible
24,22,11.41,1,1,8,1,3,faible
15,9,14.19,5,1,1,4,0,très faible
33,5,16.74,7,0,15,6,3,très faible
40,2,12.65,4,5,20,2,1,très faible
15,8,16.13,3,2,10,4,2,très faible
35,15,19.64,5,5,13,0,1,faible
33,28,18.29,5,0,12,0,0,moyen
18,18,14.56,0,0,15,4,5,faible
28,1,13.81,10,1,3,4,1,très faible
37,30,14.46,5,2,7,6,3,moyen
24,13,18.27,8,1,17,6,4,faible
13,13,18.47,0,0,14,3,2,très faible
24,19,13.89,4,1,0,4,2,faible
40,3,11.06,0,5,10,3,0,très faible
23,13,12.07,3,0,1,3,4,faible
37,16,10.1,0,3,19,6,0,faible
21,12,11.76,5,2,16,5,0,faible
12,7,13.68,4,1,6,3,2,très faible
24,1,16.17,8,0,17,3,4,très faible
34,27,18.52,6,0,20,3,2,moyen
15,14,19.99,0,0,6,5,4,très faible
19,18,15.53,1,0,5,6,4,faible
29,29,10.05,0,0,13,5,4,moyen
14,4,16.22,8,0,4,2,3,très faible
34,8,19.68,7,4,20,1,0,très faible
34,28,18.76,1,4,10,5,1,moyen
20,6,19.91,8,5,5,4,2,très faible
40,35,10.05,5,0,6,2,2,moyen
27,10,12.26,4,1,19,6,1,très faible
26,12,16.95,10,3,3,1,1,faible
29,4,13.08,9,0,14,3,1,très faible
22,17,11.48,1,2,7,6,0,faible
39,0,17.1,6,2,3,2,4,très faible
11,2,12.7,6,3,8,3,2,très faible
28,21,19.25,1,4,10,4,0,moyen
25,17,17.83,6,0,7,0,2,faible
17,5,18.32,7,0,15,6,3,très faible
20,13,16.35,7,0,7,6,5,faible
13,11,10.47,0,2,2,0,4,très faible
19,4,18.84,4,1,11,1,5,très faible
15,6,15.25,2,3,3,3,1,très faible
37,0,18.6,4,3,10,3,1,très faible
36,30,18.14,1,1,1,0,5,moyen
26,11,13.63,8,1,17,0,2,faible
10,3,11.27,7,0,15,3,2,très faible
22,17,13.85,2,0,13,5,0,faible
25,12,17.79,2,5,4,6,4,faible
29,0,13.53,0,4,9,5,1,très faible
38,14,11.71,6,2,17,2,0,très faible
36,22,19.87,9,2,0,4,0,moyen
37,33,10.94,3,1,17,3,2,moyen
11,8,16.74,3,0,16,2,4,très faible
31,12,13.5,6,0,4,0,4,très faible
34,12,12.32,5,0,5,4,3,très faible
25,11,14.03,6,1,18,5,1,faible
16,12,17.0,1,3,1,5,2,très faible
24,13,14.44,5,4,11,2,4,faible
23,13,11.12,10,0,4,3,4,faible
18,5,10.59,0,3,4,6,4,très faible
18,5,17.33,0,5,16,3,4,très faible
33,9,12.74,8,3,7,1,1,très faible
32,17,15.06,7,3,9,5,2,faible
12,0,14.95,7,3,0,3,3,très faible
39,17,10.8,2,1,8,2,0,faible
16,4,15.52,7,1,10,0,1,très faible
26,10,19.3,1,0,12,5,5,très faible
24,7,13.11,7,1,19,0,5,très faible
15,10,10.68,0,3,9,5,2,très faible
11,3,15.55,4,2,7,4,2,très faible
22,14,17.05,2,3,12,4,5,faible
29,17,14.28,7,4,15,0,0,faible
30,4,12.25,10,3,2,4,0,très faible
16,9,11.82,2,3,4,3,5,très faible
29,15,15.19,3,1,10,1,0,faible
28,14,13.54,3,2,5,5,4,faible
39,24,16.03,7,3,7,3,5,moyen
26,13,19.4,9,0,16,1,5,faible
16,3,12.7,7,2,6,3,3,très faible
25,10,19.22,8,2,9,1,3,faible
30,14,19.53,8,0,13,0,3,faible
12,11,16.75,1,0,19,2,5,très faible
40,8,14.56,9,5,11,2,1,très faible
33,16,10.94,9,1,18,5,5,faible
25,13,14.66,7,4,15,2,5,faible
29,10,15.0,10,5,13,1,2,très faible
37,8,11.08,10,0,3,3,2,très faible
14,11,13.28,0,2,9,6,1,très faible
29,3,16.37,4,3,5,3,2,très faible
26,11,18.9,9,3,12,3,2,faible
10,7,11.75,1,0,17,6,0,très faible
16,4,17.95,6,0,2,6,4,très faible
30,8,15.99,2,3,6,3,4,très faible
20,6,14.47,3,3,6,4,5,très faible
38,20,13.1,2,3,12,2,0,faible
18,12,16.58,1,0,15,6,2,faible
23,16,14.43,6,1,8,6,4,faible
39,22,13.02,8,5,7,4,3,faible
27,24,12.87,1,2,19,1,5,moyen
37,22,11.92,1,1,7,3,4,faible
36,5,18.47,10,0,20,4,1,très faible
35,12,16.57,4,3,20,2,1,très faible
27,8,13.64,5,3,18,3,2,très faible
26,13,12.14,3,4,3,5,1,faible
28,11,16.52,5,3,2,4,2,très faible
13,13,14.96,0,0,2,1,0,très faible
32,15,15.44,2,0,10,3,2,faible
25,8,10.97,5,1,0,2,1,très faible
13,7,18.16,0,3,15,2,1,très faible
35,17,19.16,3,1,12,1,1,faible
36,33,15.79,0,1,11,2,2,fort
14,10,16.52,1,0,13,6,0,très faible
38,18,10.26,5,1,2,2,5,faible
22,13,10.0,1,4,18,6,1,faible
40,5,12.74,2,0,9,2,4,très faible
24,11,10.76,2,0,12,4,1,faible
26,26,12.15,0,0,5,1,1,moyen
29,19,19.08,4,4,20,2,3,moyen
15,8,15.24,2,5,4,3,5,très faible
27,8,16.87,3,1,18,5,3,très faible
36,32,18.23,2,0,4,4,5,fort
34,24,19.13,0,0,3,1,3,moyen
17,17,17.44,0,0,11,3,1,très faible
30,18,16.2,8,2,9,4,5,moyen
34,28,14.88,2,1,20,4,2,moyen
40,37,13.12,1,1,20,6,2,fort
21,13,19.43,3,5,17,3,0,faible
19,18,11.25,1,0,1,6,5,faible
29,12,19.7,8,4,8,0,5,faible
12,4,15.01,2,5,20,5,0,très faible
28,6,15.25,9,5,16,0,0,très faible
34,17,15.43,7,0,13,6,2,faible
35,21,15.38,6,4,2,4,1,moyen
18,2,10.45,4,3,17,2,1,très faible
27,5,13.29,10,0,12,1,1,très faible
21,16,15.82,5,0,6,1,2,faible
40,31,10.17,1,0,15,0,3,moyen
38,7,15.39,1,3,17,0,1,très faible
12,4,11.31,3,0,17,4,5,très faible
16,1,10.36,10,1,12,1,4,très faible
18,12,13.06,2,2,2,4,1,faible
24,19,12.68,5,0,1,6,5,faible
10,7,12.53,0,1,16,2,2,très faible
36,10,14.84,0,0,12,1,3,très faible
21,6,11.89,0,0,18,3,1,très faible
30,16,13.16,0,5,7,1,1,faible
26,15,11.04,9,1,9,1,3,faible
10,3,12.24,4,2,6,4,2,très faible
38,34,15.09,2,1,0,3,1,fort
14,12,17.48,0,2,6,5,4,très faible
34,15,16.3,9,1,16,0,3,faible
13,11,11.02,0,0,19,5,4,très faible
14,13,18.73,0,0,15,0,2,très faible
15,8,13.42,3,2,7,2,3,très faible
29,18,15.05,0,3,17,6,1,moyen
16,0,14.15,1,5,16,6,1,très faible
18,8,15.82,1,2,1,1,0,faible
38,19,11.57,10,4,1,2,4,faible
33,12,13.1,0,0,4,0,3,très faible
40,28,17.38,10,1,18,0,0,moyen
18,1,12.49,5,1,3,3,4,très faible
16,3,13.93,2,4,3,0,0,très faible
20,18,18.85,1,1,6,1,4,faible
40,1,18.8,7,5,5,1,5,très faible
31,8,13.59,7,5,9,0,1,très faible
18,13,14.51,4,1,5,4,5,faible
10,3,18.82,1,0,0,1,1,très faible
28,22,10.29,3,0,4,1,2,moyen
29,19,10.59,9,0,3,5,3,moyen
37,13,16.58,3,5,1,2,0,très faible
30,22,10.24,8,0,3,2,4,moyen
40,6,12.93,3,1,5,5,5,très faible
34,8,16.47,6,2,5,4,2,très faible
29,19,10.44,3,1,4,3,0,moyen
38,27,11.77,0,3,20,5,5,moyen
10,0,18.86,4,0,5,4,5,très faible
26,20,14.18,1,3,18,1,5,moyen
28,4,16.12,9,1,14,1,3,très faible
40,36,17.62,4,0,9,6,5,moyen
10,3,15.23,5,0,8,2,2,très faible
32,31,17.84,0,1,4,4,4,fort
31,5,12.28,10,4,5,2,1,très faible
16,12,15.87,0,2,15,5,1,très faible
15,4,14.91,10,1,10,0,3,très faible
17,10,15.36,2,0,9,3,3,très faible
34,17,10.27,0,0,3,4,2,faible
27,25,15.31,0,0,13,5,3,moyen
19,1,16.54,7,4,4,6,3,très faible
10,7,19.84,1,0,20,1,4,très faible
15,7,18.24,4,1,5,1,4,très faible
25,2,18.18,8,4,6,2,5,très faible
37,36,19.44,1,0,13,1,0,fort
33,3,13.0,5,3,8,0,5,très faible
35,3,18.6,2,3,18,0,4,très faible
21,17,15.77,3,1,3,4,5,faible
19,9,13.6,0,5,15,1,3,faible
36,28,15.71,8,0,16,3,5,moyen
34,23,10.67,3,3,20,3,4,moyen
31,26,10.23,3,0,7,3,1,moyen
21,21,18.89,0,0,2,2,0,faible
27,9,16.99,10,0,7,4,0,très faible
35,27,18.21,1,2,18,5,2,moyen
30,20,12.61,2,4,10,2,3,moyen
37,13,10.13,8,4,0,0,2,très faible
35,13,15.1,5,0,17,5,0,très faible
31,20,10.36,0,3,20,5,4,moyen
23,7,18.5,5,1,5,0,0,très faible
27,26,19.51,0,1,9,5,1,moyen
23,2,10.56,2,3,14,5,1,très faible
21,11,10.07,6,3,9,5,4,faible
19,12,19.08,3,0,1,4,1,faible
15,1,15.52,0,3,8,2,4,très faible
40,23,12.73,6,2,17,1,3,faible
32,24,13.0,1,3,1,3,3,moyen
13,9,14.57,3,0,1,3,3,très faible
32,20,18.56,1,3,14,2,1,moyen
33,3,16.94,6,0,1,1,2,très faible
23,15,19.05,6,1,5,6,5,faible
26,13,13.91,8,5,1,3,2,faible
36,19,12.24,2,3,0,2,0,faible
18,5,11.97,6,3,12,4,3,très faible
25,9,14.76,9,2,20,2,4,très faible
32,24,14.67,5,3,8,6,5,moyen
17,9,11.71,5,2,6,4,2,très faible
10,4,19.02,2,0,1,5,2,très faible
32,20,14.56,5,5,1,2,4,moyen
17,16,16.29,1,0,9,6,0,très faible
17,6,17.65,10,0,11,1,0,très faible
12,4,17.25,0,4,2,3,4,très faible
16,11,18.51,0,1,3,2,0,très faible
16,13,12.43,0,1,12,5,2,très faible
17,1,11.17,7,0,2,3,4,très faible
26,10,15.94,1,0,4,5,1,très faible
23,8,10.94,3,0,8,5,3,très faible
37,13,13.78,6,0,10,1,0,très faible
29,4,16.87,8,5,4,0,5,très faible
33,10,14.26,1,0,17,5,3,très faible
14,0,17.41,7,0,4,1,2,très faible
30,19,10.48,10,0,0,5,0,moyen
19,16,17.92,0,1,5,5,3,faible
20,18,17.32,2,0,13,3,3,faible
14,5,10.34,2,0,17,6,5,très faible
25,23,13.65,2,0,19,6,2,faible
23,21,12.86,2,0,2,6,0,faible
11,2,15.91,8,0,8,3,1,très faible
24,5,11.97,2,3,1,2,3,très faible
32,15,19.5,5,2,5,6,2,faible
24,1,18.09,1,2,20,1,2,très faible
13,8,14.49,4,0,6,4,5,très faible
36,2,14.65,6,4,10,2,4,très faible
30,14,15.25,3,3,0,4,0,faible
24,18,17.16,5,0,16,1,1,faible
17,6,16.64,7,2,10,6,3,très faible
36,32,16.77,0,2,17,4,2,fort
23,22,10.08,1,0,4,5,1,faible
22,4,12.69,4,0,11,0,2,très faible
16,16,11.15,0,0,15,4,2,très faible
26,26,18.45,0,0,19,5,3,moyen
12,6,19.7,5,1,13,3,2,très faible
13,5,10.75,7,1,10,0,5,très faible
35,12,19.03,8,3,2,1,2,très faible
12,1,11.15,5,1,19,6,5,très faible
13,6,15.25,1,3,3,1,1,très faible
40,34,15.72,5,0,9,6,3,moyen
22,8,17.81,9,4,3,4,3,très faible
39,32,10.55,4,0,16,1,5,moyen
20,7,13.04,8,4,11,0,4,très faible
10,7,17.31,0,2,10,1,4,très faible
14,5,15.44,7,2,8,3,1,très faible
38,30,15.19,2,5,1,3,2,moyen
37,24,10.62,9,3,7,6,1,moyen
24,24,16.76,0,0,8,3,5,faible
32,24,19.92,3,3,12,5,1,moyen
27,25,14.33,0,0,18,0,0,moyen
35,24,19.43,1,4,5,1,2,moyen
35,32,15.03,1,2,3,3,2,fort
31,15,12.34,4,3,4,0,0,faible
15,0,10.64,7,0,6,5,1,très faible
23,22,12.96,1,0,17,0,4,faible
31,28,19.59,1,2,1,6,3,fort
20,17,10.25,2,1,10,1,5,faible
12,3,12.35,7,1,5,1,5,très faible
33,19,17.92,2,4,18,6,4,faible
10,0,17.33,4,3,7,2,2,très faible
35,9,12.72,0,0,13,5,0,très faible
22,7,19.09,7,5,0,6,1,très faible
18,11,12.17,4,1,9,4,4,faible
15,6,18.13,8,1,18,2,0,très faible
24,16,13.76,6,1,7,3,5,faible
38,32,12.06,1,1,9,3,2,moyen
23,9,12.19,3,3,8,1,0,très faible
11,5,16.14,5,0,18,1,3,très faible
30,17,12.64,7,4,7,0,0,faible
40,22,11.29,10,1,12,3,1,faible
22,22,14.1,0,0,1,5,2,faible
31,26,12.97,3,1,19,0,0,moyen
18,17,19.2,1,0,19,2,5,faible
30,14,17.95,6,5,20,0,3,faible
36,34,13.86,2,0,8,6,0,fort
17,17,16.46,0,0,11,5,4,très faible
26,18,10.78,2,0,1,4,2,moyen
12,4,15.03,2,5,5,1,4,très faible
40,34,19.89,4,1,3,4,1,moyen
21,17,13.31,3,0,16,3,1,faible
39,16,19.71,8,1,15,6,4,faible
38,19,11.79,2,4,5,6,1,faible
36,20,10.83,1,3,15,1,3,faible
25,17,17.14,5,2,5,4,3,faible
38,10,14.8,7,4,5,0,5,très faible
19,0,17.52,8,0,17,5,0,très faible
31,29,11.75,1,1,5,4,1,fort
23,14,11.84,2,1,11,3,0,faible
33,13,19.62,7,3,11,1,1,très faible
35,1,19.27,9,0,5,1,5,très faible
29,2,13.6,5,4,14,0,1,très faible
34,24,19.26,10,0,0,2,4,moyen
35,18,13.64,5,5,1,5,2,faible
21,6,16.74,0,3,7,0,4,très faible
28,6,16.7,4,1,3,3,4,très faible
27,12,18.72,7,0,13,1,4,faible
28,18,15.34,8,0,8,0,5,moyen
10,3,16.15,3,0,4,0,3,très faible
39,8,18.13,10,5,5,3,2,très faible
39,8,12.46,3,5,20,1,1,très faible
15,11,17.09,3,0,12,3,3,très faible
25,15,19.57,6,2,8,4,4,faible
32,27,10.21,3,0,19,2,0,moyen
26,20,13.1,3,2,9,5,5,moyen
34,0,12.08,10,0,12,5,2,très faible
25,3,14.16,4,5,19,6,4,très faible
28,23,12.86,3,2,9,4,3,moyen
24,19,17.64,4,1,20,1,1,faible
40,37,16.22,2,0,5,2,5,fort
24,5,11.48,3,1,20,6,5,très faible
16,7,14.48,5,2,2,6,0,très faible
38,9,19.7,2,1,3,1,5,très faible
39,39,14.16,0,0,16,1,5,très fort
23,2,19.04,0,3,4,1,1,très faible
23,16,13.99,0,5,16,4,4,faible
13,11,14.16,1,0,0,6,1,très faible
23,7,18.76,6,3,18,3,5,très faible
30,13,13.15,3,0,12,2,0,faible
17,2,16.79,0,3,4,0,1,très faible
18,1,15.67,5,2,7,5,5,très faible
12,7,18.54,0,4,13,2,5,très faible
33,33,12.93,0,0,8,4,0,fort
38,15,15.37,0,5,13,1,3,très faible
22,16,17.77,2,4,9,1,0,faible
12,6,16.13,0,0,18,5,4,très faible
10,5,19.96,2,3,15,5,2,très faible
21,0,13.51,7,4,13,2,2,très faible
35,20,12.64,6,4,2,5,2,faible
26,11,15.6,0,0,4,5,2,faible
13,8,13.37,3,1,20,6,4,très faible
13,13,12.31,0,0,0,3,5,très faible
26,18,17.47,1,0,16,3,0,moyen
15,10,15.0,2,0,15,5,1,très faible
10,7,18.06,1,0,3,6,1,très faible
14,7,14.58,3,1,14,2,5,très faible
27,17,13.74,8,1,2,4,5,moyen
22,7,19.97,1,2,3,0,5,très faible
25,15,17.63,7,3,5,2,1,faible
24,5,14.46,1,4,15,4,1,très faible
30,20,13.56,2,2,6,4,5,moyen
18,12,18.25,0,2,7,2,0,faible
19,13,15.74,1,5,17,0,4,faible
32,19,15.38,1,2,6,0,2,faible
25,3,16.84,5,4,4,6,4,très faible
23,9,11.47,7,2,2,1,3,très faible
11,5,11.51,3,3,15,3,3,très faible
24,16,11.8,1,0,2,1,2,faible
36,31,12.04,0,3,18,6,3,moyen
39,0,10.83,1,2,17,2,0,très faible
25,18,10.83,3,3,1,0,4,faible
31,9,12.91,9,2,17,6,4,très faible
35,34,14.82,1,0,9,2,0,fort
31,10,18.97,8,4,10,0,2,très faible
19,2,13.74,9,5,15,2,1,très faible
29,8,15.01,2,3,19,0,1,très faible
17,6,14.04,6,4,1,0,0,très faible
19,12,11.89,6,1,12,1,3,faible
38,8,11.49,10,4,16,5,0,très faible
18,12,11.07,0,0,0,2,0,faible
23,23,18.5,0,0,17,4,0,faible
35,20,10.69,8,3,18,3,3,faible
13,3,15.42,10,0,10,3,3,très faible
40,40,11.12,0,0,18,0,2,très fort
15,4,13.16,6,5,1,3,0,très faible
38,12,15.81,0,3,0,4,5,très faible
19,12,18.37,2,1,6,4,5,faible
14,7,16.73,7,0,3,0,5,très faible
28,26,13.11,2,0,5,5,0,moyen
40,33,17.0,3,3,17,1,2,moyen
27,22,14.69,5,0,6,2,5,moyen
32,27,12.73,3,0,11,5,3,moyen
36,2,11.53,4,1,14,1,4,très faible
15,12,13.66,2,1,15,3,2,très faible
21,17,19.68,1,1,7,4,5,faible
31,21,15.97,6,4,9,5,3,moyen
17,16,19.26,1,0,18,4,3,très faible
35,7,12.38,3,4,5,0,3,très faible
33,9,13.66,2,0,9,2,4,très faible
28,28,18.27,0,0,5,4,0,moyen
15,9,14.62,2,1,10,3,4,très faible
16,16,18.89,0,0,17,2,0,très faible
37,21,13.26,1,3,17,3,0,faible
33,25,18.95,0,0,2,2,3,moyen
18,12,18.51,6,0,3,6,2,faible
20,13,10.2,4,1,20,6,4,faible
32,30,12.09,2,0,18,6,4,fort
39,37,12.25,1,1,17,4,2,fort
13,11,16.9,1,1,6,4,4,très faible
13,1,11.29,6,3,9,1,3,très faible
39,7,18.37,3,0,5,5,2,très faible
16,5,10.17,4,1,8,5,0,très faible
34,18,16.02,6,0,19,5,2,faible
25,18,11.5,3,4,2,6,5,faible
32,24,17.18,8,0,6,3,1,moyen
24,11,11.76,6,4,4,4,0,faible
34,12,15.96,6,3,20,5,2,très faible
30,16,13.71,10,0,4,3,1,faible
17,6,18.53,2,3,5,0,1,très faible
15,6,19.35,7,2,4,6,2,très faible
27,6,18.6,9,4,15,4,3,très faible
16,7,16.46,4,5,10,0,4,très faible
14,11,11.43,1,2,12,6,5,très faible
27,19,19.64,2,3,4,1,2,moyen
22,3,13.44,2,1,13,2,4,très faible
28,11,15.06,10,5,19,4,4,très faible
29,26,11.71,3,0,16,5,5,moyen
40,38,10.29,2,0,11,0,3,fort
11,1,13.8,0,1,20,0,5,très faible
31,16,10.88,8,1,5,6,3,faible
28,26,10.61,0,2,20,5,0,moyen
19,19,18.83,0,0,20,4,2,faible
28,21,12.28,2,0,10,3,3,moyen
22,3,10.14,7,3,13,6,4,très faible
26,5,16.36,7,5,8,4,5,très faible
22,2,17.69,8,1,14,5,2,très faible
34,19,17.67,7,1,10,3,3,faible
13,6,16.98,6,0,12,0,2,très faible
34,4,12.13,3,1,19,1,0,très faible
39,28,10.78,5,5,19,5,4,moyen
31,0,10.74,4,0,7,5,2,très faible
28,13,12.51,1,4,13,5,1,faible
15,3,17.98,4,3,15,6,3,très faible
33,31,13.19,2,0,5,5,3,fort
36,14,15.32,7,1,17,3,0,très faible
33,24,15.79,1,4,13,3,3,moyen
20,3,14.9,5,2,16,2,1,très faible
37,3,14.48,10,1,6,3,5,très faible
35,11,10.75,2,1,14,3,0,très faible
37,37,17.43,0,0,5,6,2,fort
10,9,15.37,0,1,2,0,5,très faible
10,10,11.51,0,0,20,0,4,très faible
13,13,13.57,0,0,19,6,2,très faible
20,11,13.87,8,0,8,2,2,faible
15,14,11.88,0,0,13,6,1,très faible
27,23,15.79,4,0,17,0,1,moyen
19,16,19.7,1,0,5,6,3,faible
17,8,17.33,5,3,20,4,1,très faible
23,18,10.34,2,0,6,6,4,faible
36,1,10.49,4,0,4,1,3,très faible
38,19,13.42,4,3,6,0,5,faible
35,25,10.01,10,0,9,2,0,moyen
37,21,19.41,3,3,13,3,2,faible
14,2,12.62,2,3,9,0,5,très faible
11,10,17.14,1,0,20,4,5,très faible
10,2,11.49,3,0,4,4,5,très faible
36,24,18.32,3,2,2,1,3,moyen
11,1,19.05,1,3,13,1,1,très faible
30,24,14.35,2,3,8,3,5,moyen
31,8,17.16,7,4,9,5,1,très faible
20,8,15.29,2,2,17,2,4,faible
24,18,12.21,2,1,0,1,0,faible
33,13,13.43,8,1,7,1,0,très faible
21,11,11.49,1,3,14,1,0,faible
40,17,17.22,2,2,2,1,3,faible
15,1,19.38,6,4,16,6,1,très faible
27,1,16.62,7,2,17,5,3,très faible
27,15,15.5,4,5,15,5,5,faible
